Date,link,title,Gender-Loose,Gender-Tight,description
4/13/09,http://www.missedinhistory.com/podcasts/how-archimedes-death-ray-worked/,How Archimedesâ€™ Death Ray Worked,M,M,Archimedes' death ray is one of history's most fabled legendary weapons -- but what was it? Was it even real? Listen in as Candace and Jane sift through the legends and find the facts behind the ancient death ray in this podcast from HowStuffWorks.com.
4/15/09,http://www.missedinhistory.com/podcasts/how-the-marshall-plan-worked/,How the Marshall Plan Worked,M,N,"During a Harvard commencement speech, Secretary of State George Marshall outlined a plan to assist Europe after World War II. Listen in and learn how this 12 minute speech changed the future of Europe in this HowStuffWorks.com podcast."
4/20/09,http://www.missedinhistory.com/podcasts/charlemagnes-coronation/,Charlemagneâ€™s Coronation,M,M,"On Christmas Day in 800 AD, Charlemagne became the emperor of Rome in a coronation headed by none other than Pope Leo III. Learn more about the growth of the Holy Roman Empire in this podcast from HowStuffWorks.com."
4/22/09,http://www.missedinhistory.com/podcasts/how-joan-darc-worked/,How Joan Dâ€™Arc Worked,F,F,"Joan of Arc was a startling, larger-than-life figure, and she had a very strange trial. Learn why the Joan of Arc trial is so contentious -- along with much more -- in this podcast from HowStuffWorks.com."
4/27/09,http://www.missedinhistory.com/podcasts/were-ancient-egyptians-the-first-feminists/,Were ancient Egyptians the first feminists?,F,F,"When Herodotus explored Egypt, he was startled by the contradictory gender roles -- women were doing tasks the Greeks restricted to males. Does this mean the Egyptians were the first feminists? Learn more in this podcast from HowStuffWorks.com."
4/29/09,http://www.missedinhistory.com/podcasts/was-manhattan-traded-for-nutmeg/,Was Manhattan traded for nutmeg?,M,N,"It's hard to believe that anyone would trade the thriving island of Manhattan for a spice, but history is full of surprises. Find out why -- and how --  the Dutch traded Manhattan for nutmeg in this podcast from HowStuffWorks.com."
5/4/09,http://www.missedinhistory.com/podcasts/gandhis-salt-march/,Gandhiâ€™s Salt March,M,M,"When the British Empire controlled India, it used legislation like the salt tax to control the population. Learn how Gandhi's non-violent salt march triggered a wave of protest leading to Indian independence in this podcast from HowStuffWorks.com."
5/6/09,http://www.missedinhistory.com/podcasts/were-people-vying-to-become-slaves-in-the-ottoman-empire/,Were people vying to become slaves in the Ottoman Empire?,M,M,"Under a loophole of Muslim law, a sultan could take one-fifth of the spoils of war, including slaves. Learn how the sultan began a slave army -- and why would someone would want to be a soldier-slave -- in this podcast from HowStuffWorks.com."
5/11/09,http://www.missedinhistory.com/podcasts/how-the-battle-of-gettysburg-worked/,How the Battle of Gettysburg Worked,M,M,"The Battle of Gettysburg remains the most memorable conflict of the Civil War, and historians continue to analyze the events preceding and following from the battle. Tune in and learn more about Gettysburg in this podcast from HowStuffWorks.com."
5/13/09,http://www.missedinhistory.com/podcasts/mesopotamia-the-first-civilization/,Mesopotamia: The First Civilization,M,N,"Mesopotamia is often called the 'cradle of civilization,' but some scholars believe other ancient areas (such as Catal Huyuk) hold a better claim to the title. Tune in and learn more with this podcast from HowStuffWorks.com."
